[ClickObjectLog] [2024-08-31T10:45:35.1750539] Clicked object WorldObject{x=3214, y=3211, height=0, id=30944, type=10, face=1} option 1
[ClickObjectLog] [2024-08-31T10:45:35.7808009] Clicked object WorldObject{x=3214, y=3211, height=0, id=30944, type=10, face=1} option 1
[ClickObjectLog] [2024-08-31T10:45:51.5913384] Clicked object WorldObject{x=3224, y=3202, height=0, id=39621, type=11, face=1} option 1
[ClickObjectLog] [2024-08-31T10:45:52.1951271] Clicked object WorldObject{x=3225, y=3204, height=0, id=12768, type=10, face=3} option 1
[ClickObjectLog] [2024-08-31T10:45:53.4067731] Clicked object WorldObject{x=3223, y=3207, height=0, id=2996, type=10, face=2} option 1
[ClickObjectLog] [2024-08-31T10:45:57.6709675] Clicked object WorldObject{x=3237, y=3208, height=0, id=9741, type=0, face=1} option 1
[ClickObjectLog] [2024-08-31T10:45:58.270964] Clicked object WorldObject{x=3238, y=3208, height=0, id=9741, type=0, face=1} option 1
[ClickObjectLog] [2024-08-31T10:45:58.2719607] Clicked object WorldObject{x=3238, y=3208, height=0, id=9741, type=0, face=1} option 1
[ClickObjectLog] [2024-08-31T10:45:59.488181] Clicked object WorldObject{x=3237, y=3209, height=0, id=27980, type=10, face=1} option 1
[ClickObjectLog] [2024-08-31T10:46:04.3438077] Clicked object WorldObject{x=3233, y=3212, height=0, id=9741, type=0, face=2} option 1
[ClickObjectLog] [2024-08-31T10:46:05.5535667] Clicked object WorldObject{x=3233, y=3211, height=0, id=9741, type=0, face=2} option 1
[ClickObjectLog] [2024-08-31T10:46:19.5223562] Clicked object WorldObject{x=3233, y=3210, height=0, id=9741, type=0, face=2} option 1
[ClickObjectLog] [2024-08-31T10:46:20.7265777] Clicked object WorldObject{x=3233, y=3210, height=0, id=9741, type=0, face=2} option 1
[ClickObjectLog] [2024-08-31T10:46:23.7443722] Clicked object WorldObject{x=3237, y=3209, height=0, id=27980, type=10, face=1} option 1
[ClickObjectLog] [2024-08-31T10:48:15.6743431] Clicked object WorldObject{x=3237, y=3209, height=0, id=27980, type=10, face=1} option 1
[ClickObjectLog] [2024-08-31T10:48:45.7798481] Clicked object WorldObject{x=3237, y=3209, height=0, id=27980, type=10, face=1} option 1
[ClickObjectLog] [2024-08-31T10:52:08.0532537] Clicked object WorldObject{x=3254, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T10:52:12.8616478] Clicked object WorldObject{x=3253, y=3205, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T10:52:17.6692984] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T10:52:36.3544345] Clicked object WorldObject{x=3253, y=3205, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T11:12:03.9371809] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T11:12:08.7434782] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T11:12:10.5488062] Clicked object WorldObject{x=3254, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T11:12:15.3637303] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T11:12:16.5657374] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T11:12:21.3816653] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T11:12:25.5994662] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T11:12:25.5994662] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T11:12:26.2006615] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T11:12:26.2006615] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T11:12:26.2006615] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T11:12:26.2016586] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T11:12:26.8035004] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T11:12:26.8035004] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T11:12:26.8035004] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T11:12:27.4084101] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T11:12:27.4084101] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T11:12:27.4084101] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T11:12:32.2256236] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T11:12:32.2256236] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T11:12:32.8266697] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T11:12:32.8266697] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T11:12:32.8266697] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T11:12:33.4296377] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T11:12:33.4296377] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T11:12:34.0317521] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T11:12:34.0317521] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T11:12:34.0317521] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T11:12:36.4374669] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T11:12:37.0359762] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T11:12:37.0369736] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T11:12:37.0369736] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T11:12:37.6381794] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T11:12:37.6391761] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T11:16:17.3995923] Clicked object WorldObject{x=3248, y=3235, height=0, id=2606, type=0, face=3} option 1
[ClickObjectLog] [2024-08-31T11:16:17.4040903] Clicked object WorldObject{x=3248, y=3235, height=0, id=2606, type=0, face=3} option 1
[ClickObjectLog] [2024-08-31T19:33:45.7435024] Clicked object WorldObject{x=3252, y=3206, height=0, id=11663, type=10, face=0} option 1
[ClickObjectLog] [2024-08-31T19:35:26.1845568] Clicked object WorldObject{x=3238, y=3239, height=0, id=7286, type=11, face=3} option 1
[ClickObjectLog] [2024-08-31T19:46:16.6070494] Clicked object WorldObject{x=3248, y=3219, height=0, id=46995, type=10, face=2} option 1
[ClickObjectLog] [2024-08-31T19:46:18.4112084] Clicked object WorldObject{x=3248, y=3219, height=0, id=46995, type=10, face=2} option 1
[ClickObjectLog] [2024-08-31T19:46:20.8255986] Clicked object WorldObject{x=3248, y=3219, height=0, id=46995, type=10, face=2} option 1
[ClickObjectLog] [2024-08-31T19:47:15.7911507] Clicked object WorldObject{x=3248, y=3219, height=0, id=46995, type=10, face=2} option 3
[ClickObjectLog] [2024-08-31T19:47:16.3911082] Clicked object WorldObject{x=3248, y=3219, height=0, id=46995, type=10, face=2} option 2
[ClickObjectLog] [2024-08-31T20:00:07.1471531] Clicked object WorldObject{x=3225, y=3215, height=0, id=18046, type=10, face=1} option 1
[ClickObjectLog] [2024-08-31T20:14:52.1888173] Clicked object WorldObject{x=3085, y=3474, height=0, id=52394, type=10, face=1} option 1
[ClickObjectLog] [2024-08-31T20:15:37.3724321] Clicked object WorldObject{x=3238, y=3231, height=0, id=8393, type=10, face=1} option 1
[ClickObjectLog] [2024-08-31T20:18:56.5615067] Clicked object WorldObject{x=3209, y=3232, height=0, id=33983, type=10, face=1} option 1
[ClickObjectLog] [2024-08-31T20:19:02.5681963] Clicked object WorldObject{x=3238, y=3231, height=0, id=8393, type=10, face=1} option 1
[ClickObjectLog] [2024-08-31T20:19:07.3980194] Clicked object WorldObject{x=3238, y=3231, height=0, id=8393, type=10, face=1} option 1
[ClickObjectLog] [2024-08-31T20:19:07.3990176] Clicked object WorldObject{x=3238, y=3231, height=0, id=8393, type=10, face=1} option 1
[ClickObjectLog] [2024-08-31T20:19:09.8110235] Clicked object WorldObject{x=3238, y=3231, height=0, id=8393, type=10, face=1} option 1
[ClickObjectLog] [2024-08-31T20:54:15.2406766] Clicked object WorldObject{x=2011, y=6432, height=0, id=49204, type=10, face=1} option 1
[ClickObjectLog] [2024-08-31T20:54:17.6461171] Clicked object WorldObject{x=2011, y=6432, height=0, id=49204, type=10, face=1} option 1
[ClickObjectLog] [2024-08-31T20:54:48.3768549] Clicked object WorldObject{x=2221, y=6233, height=0, id=46439, type=0, face=0} option 1
